policy,n_origin_fits,snaive_fallbacks,fallback_pct
adaptive_cap12_tau0.03,1727352,252,0.0146
adaptive_cap12_tau0.05,1727352,252,0.0146
adaptive_cap12_tau0.1,1727352,252,0.0146
adaptive_cap12_tau0.2,1727352,252,0.0146
adaptive_cap12_tau0.4,1727352,252,0.0146
adaptive_cap12_tau0.8,1727352,276,0.016
adaptive_cap8_tau0.03,1727352,252,0.0146
adaptive_cap8_tau0.05,1727352,252,0.0146
adaptive_cap8_tau0.1,1727352,252,0.0146
adaptive_cap8_tau0.2,1727352,252,0.0146
adaptive_cap8_tau0.4,1727352,252,0.0146
adaptive_cap8_tau0.8,1727352,256,0.0148
fixed_f10,1727352,252,0.0146
fixed_f11,1727352,255,0.0148
fixed_f12,1727352,276,0.016
fixed_f2,1727352,260,0.0151
fixed_f3,1727352,261,0.0151
fixed_f4,1727352,260,0.0151
fixed_f5,1727352,263,0.0152
fixed_f6,1727352,258,0.0149
fixed_f7,1727352,267,0.0155
fixed_f8,1727352,256,0.0148
fixed_f9,1727352,261,0.0151
full_update,1727352,264,0.0153
parameter_only,1727352,216,0.0125
