policy,n_monitoring_points,n_series,score_triggers,mean_score_gap,median_score_gap,mean_spec_debt_aicc,median_spec_debt_aicc,mean_deployed_weight_aicc,mean_spec_debt_bic,median_spec_debt_bic,mean_deployed_weight_bic,spearman_score_gap_debt_aicc,spearman_score_gap_debt_bic
adaptive_cap12_tau0.03,197290,47982,144603,0.305724825711801,0.151753225350835,20.1753365466587,4.22553497357867,0.187928245551649,6.36736904738774,3.03724228600724,0.225560482289227,0.0925637792299574,0.142495460195805
adaptive_cap12_tau0.05,191377,47982,131335,0.305976728079357,0.151674461578311,19.386597861076,3.89407783956438,0.198028105814064,6.11875063381233,2.74973734762237,0.236037064655334,0.0879435163245632,0.139685315271335
adaptive_cap12_tau0.1,179835,47982,105096,0.30396709999767,0.150933472022272,17.4765070041988,3.19901653889689,0.220480090314219,5.51689392580761,2.11012046794542,0.259365337515456,0.0782405705601049,0.133084957095179
adaptive_cap12_tau0.2,165192,47982,70718,0.30293932309451,0.148970318358461,14.4261957478006,1.89624267676718,0.256219861424339,4.58489424962849,1.40213768474912,0.29590666100446,0.0618139258231984,0.122355725227238
adaptive_cap12_tau0.4,152092,47982,36950,0.299499791592998,0.147666965516402,10.5190927945616,1.14078394768282,0.300657554444797,3.41886397705141,0.999794559362844,0.340855789753653,0.0362851577169584,0.104031731636275
adaptive_cap12_tau0.8,145426,47982,12199,0.294280329010945,0.144999470641708,7.06118522445807,0.919273622462317,0.33747455098722,2.41848334122867,0.861099360205287,0.377732970405691,0.00350405795522101,0.0799917192782255
adaptive_cap8_tau0.03,237240,47982,172390,0.300498196818665,0.146025088278665,20.0961853851373,4.18679180520442,0.191220400350946,6.32967984030861,2.95589209769159,0.229830383117919,0.107197764985137,0.158814949037467
adaptive_cap8_tau0.05,235791,47982,159716,0.299354439565403,0.144901432089236,19.305263563312,3.84793628880249,0.201587380463267,6.07886034468807,2.65612216677257,0.240379681860388,0.10522507172855,0.157437576648971
adaptive_cap8_tau0.1,231871,47982,132750,0.297368589219771,0.143068478492531,17.4114977719487,3.09902488234486,0.22433178925113,5.489837686215,2.02215895027286,0.263991249376033,0.0964002714758462,0.151489949967423
adaptive_cap8_tau0.2,223842,47982,93134,0.294808017963119,0.141161865259569,14.4385581008511,1.83981871220452,0.259098058098733,4.58291593801541,1.36945332181867,0.299637192242278,0.0765421180895919,0.133838925134671
adaptive_cap8_tau0.4,211276,47982,49373,0.290806079516246,0.14005967499562,10.6405976943278,1.14606280333344,0.301687697728289,3.44900546860946,0.996983552006422,0.342720815066502,0.0459516929358852,0.108048921761308
adaptive_cap8_tau0.8,198882,47982,15900,0.28816341917176,0.138393798179815,7.140127178863,0.920182066639428,0.338204256158212,2.41995969595065,0.859841750020649,0.379366649905758,0.0077025079503474,0.0745990319321297
