policy,mean_loss,total_fit_seconds,mean_fit_seconds,respecifications,n_records,n_series,mean_instability,relative_loss,relative_time,relative_instability,mean_respecifications_per_series,total_cost_index
fixed_f4,0.639359749349656,168361.095000024,0.0974677396384896,431838,1727352,47982,4.03460634432507,0.99996446931899,0.282343896724842,0.94690999107743,9,0.99996446931899
full_update,0.639382467044136,596297.979000059,0.345209302446785,1727352,1727352,47982,4.26081294140147,1,1,1,36,1
fixed_f2,0.639483177466728,308160.098999982,0.178400290734015,863676,1727352,47982,4.11912463139324,1.0001575120179,0.516788769797176,0.966746179201749,18,1.0001575120179
fixed_f6,0.639628115730292,118470.67300001,0.0685851366716278,287892,1727352,47982,4.01516874152982,1.00038419678177,0.198676965497477,0.942348044082205,6,1.00038419678177
fixed_f7,0.639666155249208,115658.195999972,0.0669569352395874,287892,1727352,47982,4.00960110850745,1.0004436909357,0.193960402471799,0.941041337334234,6,1.0004436909357
fixed_f9,0.639730538742462,83749.0629999929,0.0484840744677361,191928,1727352,47982,3.97375950412774,1.00054438730536,0.140448342857766,0.932629420436536,4,1.00054438730536
fixed_f5,0.639733761808319,147622.521999981,0.0854617483871158,383856,1727352,47982,4.03058007743192,1.0005494282097,0.247565021514129,0.945965038330497,8,1.0005494282097
fixed_f3,0.639770429458362,212276.966000036,0.122891550766744,575784,1727352,47982,4.06462572747785,1.00060677674823,0.355991422872181,0.953955450140206,12,1.00060677674823
fixed_f8,0.639782466462487,99706.7820000181,0.0577223299015013,239910,1727352,47982,4.01048983719673,1.00062560273227,0.167209659451166,0.941249919288312,5,1.00062560273227
fixed_f10,0.639840873960323,83651.9600000243,0.0484278595214087,191928,1727352,47982,3.97022095685512,1.00071695259069,0.140285499776977,0.931798934019675,4,1.00071695259069
fixed_f11,0.640384322774563,83663.0869999799,0.0484343011731135,191928,1727352,47982,3.99363743185379,1.00156691148423,0.14030415991058,0.937294710370506,4,1.00156691148423
adaptive_cap12_tau0.8,0.64070685380314,121379.396000013,0.0702690569148692,154665,1727352,47982,3.96407091760043,1.00207135294955,0.203554934403025,0.930355538278233,3.2233962736026,1.00207135294955
adaptive_cap8_tau0.8,0.640799628015105,168718.66700003,0.0976747455064342,244600,1727352,47982,3.99186492619945,1.00221645266177,0.282943549939507,0.936878708617149,5.09774498770372,1.00221645266177
fixed_f12,0.640819178700525,67712.7750000044,0.0392003338057353,143946,1727352,47982,3.99742598985335,1.00224703011177,0.113555264959229,0.938183873554072,3,1.00224703011177
adaptive_cap12_tau0.4,0.644384844722637,128141.359000001,0.0741836979376531,172750,1727352,47982,3.97988171662182,1.00782376423555,0.214894840352944,0.934066285320838,3.60030844900171,1.00782376423555
parameter_only,0.644951356626424,35564.6120000348,0.0205890935953035,47982,1727352,47982,3.92559137735223,1.00870979401114,0.0596423487124233,0.921324505755237,1,1.00870979401114
adaptive_cap8_tau0.4,0.646024140814453,174259.638999998,0.10088252944391,255195,1727352,47982,4.03213382088014,1.01038763824886,0.292235837009236,0.946329697251128,5.31855695885957,1.01038763824886
adaptive_cap12_tau0.2,0.64862315417812,135301.921999967,0.0783290967909069,193418,1727352,47982,4.03837044514001,1.01445251881351,0.226903204043818,0.947793414233224,4.03105331165854,1.01445251881351
adaptive_cap8_tau0.2,0.651595899058165,175082.783999968,0.101359065204989,268255,1727352,47982,4.11961759334345,1.01910191887258,0.293616262616832,0.966861875890854,5.59074236171898,1.01910191887258
adaptive_cap12_tau0.1,0.653016615817199,141192.459999994,0.081739251756442,213153,1727352,47982,4.1185746965893,1.02132393281926,0.236781718155009,0.966617111154993,4.44235338251844,1.02132393281926
adaptive_cap12_tau0.05,0.656124807496145,142578.075000023,0.0825414130993702,227850,1727352,47982,4.17470605320053,1.02618517290505,0.239105413771676,0.979790971961181,4.74865574590471,1.02618517290505
adaptive_cap8_tau0.1,0.656706968352567,173934.042000027,0.100694034568534,277534,1727352,47982,4.2105695152629,1.02709567778504,0.291689806314118,0.988208018791353,5.78412738110125,1.02709567778504
adaptive_cap12_tau0.03,0.657347283281396,144779.748000014,0.083816007391669,235205,1727352,47982,4.20084102608973,1.02809713616376,0.242797649998408,0.985924771601915,4.90194239506482,1.02809713616376
adaptive_cap8_tau0.05,0.659882050179519,169263.471000029,0.097990143873414,282370,1727352,47982,4.2712172264004,1.03206153467134,0.283857193820898,1.00244185443999,5.88491517652453,1.03206153467134
adaptive_cap8_tau0.03,0.661004647581825,170357.25200003,0.0986233564438688,284247,1727352,47982,4.30025283375329,1.03381728722974,0.285691479762693,1.0092564242773,5.92403401275478,1.03381728722974
