contrast,policy_a,policy_b,role,horizon,n_series,mean_diff,boot_lo,boot_hi,series_t,series_p,median_diff,share_favors_a,trim1,trim2p5,trim5,winsor1,mean_excl_top1,abs_share_top1
parameter_only vs fixed_f8,parameter_only,fixed_f8,context,3,38134,0.0128682446941722,0.0117379616241914,0.0140179590424536,21.8654100261964,2.46683896382795e-105,0,0.423742591912729,0.00858997833793244,0.0064151305480158,0.00449565848947474,0.0106294328763685,0.00638531536853716,0.184673088248297
parameter_only vs fixed_f8,parameter_only,fixed_f8,context,6,38134,0.0151464300049095,0.0136511632109137,0.0166661654515714,19.5415969074304,1.26350817674237e-84,0,0.424398174857083,0.00957170666748961,0.00711916708675724,0.00517476316850904,0.0120228920066319,0.00705276357004777,0.190539058720113
parameter_only vs fixed_f8,parameter_only,fixed_f8,context,9,38134,0.0157580489588538,0.0141174402243581,0.0174106872816965,18.2568720190991,3.78022576055886e-74,0,0.42746630303666,0.0103310323054926,0.0079721986634453,0.00596664997574613,0.0126102352404043,0.0079831402205626,0.172507314625453
parameter_only vs fixed_f8,parameter_only,fixed_f8,context,12,38134,0.0147843675086568,0.0131047356006743,0.0164933480400617,16.949085231452,3.36128072937135e-64,0,0.432606073320397,0.0105793407757889,0.00851371330048383,0.00642565650404495,0.012355195758168,0.00863851628577007,0.146604709434865
parameter_only vs fixed_f8,parameter_only,fixed_f8,context,18,38134,0.0177196124142867,0.01553216345583,0.0198723550252275,15.9833082420739,2.56603201708121e-57,0,0.431766927151623,0.0138700343294198,0.0115779873151898,0.00880537458431288,0.0156750794330259,0.0112953824274716,0.129957830304807
aicc_gate_cap8_tau0.8 vs fixed_f8,aicc_gate_cap8_tau0.8,fixed_f8,primary,3,38134,-0.000974063581882682,-0.00121713957775291,-0.000738089677062638,-7.94763104487619,1.953050338342e-15,0,0.120443698536739,-0.000668912558179709,-0.000466446021779443,-0.000244468625850019,-0.0008534260983283,-0.000523224017053013,0.307462671798658
aicc_gate_cap8_tau0.8 vs fixed_f8,aicc_gate_cap8_tau0.8,fixed_f8,primary,6,38134,-0.00175312400436568,-0.00208215710127404,-0.00143016059899548,-10.4361160655772,1.83558523472714e-25,0,0.119394765825772,-0.00114213486233031,-0.000791453379414288,-0.000417677303854382,-0.0014620807118788,-0.000875686257307446,0.300986597626875
aicc_gate_cap8_tau0.8 vs fixed_f8,aicc_gate_cap8_tau0.8,fixed_f8,primary,9,38134,-0.00182914542460026,-0.00220545154332286,-0.00145546615276659,-9.26363146577283,2.07585710190991e-20,0,0.119997902134578,-0.00125856741364964,-0.000945235032561198,-0.00052575765306956,-0.00153580373999548,-0.000996036947784816,0.291679182568843
aicc_gate_cap8_tau0.8 vs fixed_f8,aicc_gate_cap8_tau0.8,fixed_f8,primary,12,38134,-0.00158969396416544,-0.0019992547748989,-0.001178989487383,-7.34680942797052,2.070498927368e-13,0,0.119184979283579,-0.00121333276552588,-0.000955166038626064,-0.00054785403394064,-0.00136279591768549,-0.000912891925176989,0.281124311084806
aicc_gate_cap8_tau0.8 vs fixed_f8,aicc_gate_cap8_tau0.8,fixed_f8,primary,18,38134,-0.00168257698651903,-0.00224603291719675,-0.0011153912975716,-5.72636078557725,1.03377229235099e-08,0,0.118896522788063,-0.00135567677310979,-0.00109392409192539,-0.000668331040515514,-0.00154462678503037,-0.00110753281329694,0.28297006580405
trigg_cap8_tau0.6 vs fixed_f4,trigg_cap8_tau0.6,fixed_f4,rate_matched,3,38134,0.000137555594003395,-0.000272964305961483,0.000551207030288897,0.659825315044964,0.509369920982017,0,0.44553416898306,6.04238744163011e-05,-5.46042248369635e-05,-0.000157873226614415,0.00017596944709132,-8.0613101040425e-05,0.123370892506261
trigg_cap8_tau0.6 vs fixed_f4,trigg_cap8_tau0.6,fixed_f4,rate_matched,6,38134,0.00100463292919105,0.000471328003296422,0.00152248170180522,3.73532169550604,0.000187748312346183,0,0.442885613887869,0.00065469476488899,0.000365604081733041,0.000147876042626924,0.000890173256430009,0.000323295957244994,0.133665682037843
trigg_cap8_tau0.6 vs fixed_f4,trigg_cap8_tau0.6,fixed_f4,rate_matched,9,38134,0.00165288598683267,0.00100646802773321,0.0022933837488363,5.03924874344743,4.69495821260438e-07,0,0.44018461215713,0.0010417364402641,0.000688705061020962,0.000449578681781573,0.00141325695432473,0.000677998415676603,0.13995074208527
trigg_cap8_tau0.6 vs fixed_f4,trigg_cap8_tau0.6,fixed_f4,rate_matched,12,38134,0.00161711315161347,0.000868683283980058,0.00237043162468651,4.25028615046761,2.1400441846566e-05,0,0.445586615618608,0.000685172110849879,0.000357074777478193,0.0001553321812322,0.00108420150112952,0.000176970468644689,0.146139304277972
trigg_cap8_tau0.6 vs fixed_f4,trigg_cap8_tau0.6,fixed_f4,rate_matched,18,38134,0.00236353317877244,0.00133083310906583,0.00340027629289944,4.43200488912756,9.36209476679525e-06,0,0.442675827345676,0.000809645538130862,0.000399719530835967,0.000168017151101624,0.00134967199226276,-7.32173375011479e-05,0.155274130975832
adaptive_cap8_tau0.8 vs fixed_f8,adaptive_cap8_tau0.8,fixed_f8,repro,3,38134,0.000962045576818538,0.000496146073998635,0.00143818999843641,4.08841490312291,4.35220331575375e-05,0,0.126343945035926,0.0012399058713879,0.00117510073619608,0.000927442448372209,0.00120540748402728,0.00141450070329617,0.190339593230053
adaptive_cap8_tau0.8 vs fixed_f8,adaptive_cap8_tau0.8,fixed_f8,repro,6,38134,-0.00303529492988591,-0.00367358105004952,-0.00242212594190635,-9.43337846973548,4.1869993842332e-21,0,0.13971783710075,-0.00154535825876849,-0.000881810963384318,-0.000433497525102838,-0.00220388369686137,-0.000495485896318637,0.208513650780571
adaptive_cap8_tau0.8 vs fixed_f8,adaptive_cap8_tau0.8,fixed_f8,repro,9,38134,-0.00419426182641236,-0.0049015125227008,-0.00349547245845806,-11.6434908509451,2.79796943187088e-31,0,0.145985210048775,-0.00249402786085151,-0.00174269347774755,-0.0011472147974997,-0.00325172601484733,-0.00128552782049487,0.206621693653187
adaptive_cap8_tau0.8 vs fixed_f8,adaptive_cap8_tau0.8,fixed_f8,repro,12,38134,-0.0036312626908492,-0.00435645904669544,-0.00292859239604556,-9.83011588467117,8.88980968653002e-23,0,0.146876802853097,-0.00240409804856504,-0.00186098661404407,-0.00133371717490538,-0.00294924775262401,-0.00152756974255309,0.193769069182482
adaptive_cap8_tau0.8 vs fixed_f8,adaptive_cap8_tau0.8,fixed_f8,repro,18,38134,-0.00426479195994115,-0.00519552937725391,-0.003342950364074,-8.95987721000158,3.3940263072933e-19,0,0.145906540095453,-0.00305540319282311,-0.00239889993188537,-0.00177582680483737,-0.00364699810044241,-0.00231218747937665,0.188954791019817
trigg_cap8_tau0.6 vs adaptive_cap8_tau0.8,trigg_cap8_tau0.6,adaptive_cap8_tau0.8,repro,3,38134,-0.00192642030412578,-0.00253140441625487,-0.00132122395994528,-6.21438205201374,5.20590162952922e-10,0,0.430665547805108,-0.00198342664317155,-0.00199819254200858,-0.00190532068720978,-0.00192241208285405,-0.00202338461154545,0.121525336007223
trigg_cap8_tau0.6 vs adaptive_cap8_tau0.8,trigg_cap8_tau0.6,adaptive_cap8_tau0.8,repro,6,38134,0.0025467118954758,0.00175040189716481,0.00334696525032556,6.3457230728371,2.23864384375457e-10,0,0.415980489851576,0.00121318423021052,0.000505001997814563,2.0185291276414e-05,0.00194279472195811,2.13238382395448e-05,0.132979844974266
trigg_cap8_tau0.6 vs adaptive_cap8_tau0.8,trigg_cap8_tau0.6,adaptive_cap8_tau0.8,repro,9,38134,0.00393101545992561,0.00302067874919991,0.0048499683161641,8.438128992513,3.3365065070771e-17,0,0.410054020034615,0.00218037964578747,0.0013167008752269,0.000742628078064507,0.0031403658342141,0.000838826621996608,0.133453293557778
trigg_cap8_tau0.6 vs adaptive_cap8_tau0.8,trigg_cap8_tau0.6,adaptive_cap8_tau0.8,repro,12,38134,0.00352357079229694,0.00253094531329282,0.00454803006913904,6.85524146519078,7.22736642229442e-12,0,0.413463051345256,0.00176141037495389,0.00101784085756593,0.000570226886161223,0.00257464535232641,0.00042886314644653,0.133012555056997
trigg_cap8_tau0.6 vs adaptive_cap8_tau0.8,trigg_cap8_tau0.6,adaptive_cap8_tau0.8,repro,18,38134,0.00498773832801464,0.00360299677536535,0.00639005743463256,7.08830473908367,1.3811853667482e-12,0,0.411338962605549,0.00252125157105173,0.00155074892306479,0.0009509740551309,0.00356845230059925,0.000972605662820456,0.137585686191455
trigg_cap8_tau0.6 vs fixed_f8,trigg_cap8_tau0.6,fixed_f8,repro,3,38134,-0.000964374727307242,-0.00143051354236265,-0.000504392798956393,-4.07994790245735,4.51373265129446e-05,0,0.390963444695023,-0.000671910484399544,-0.000609195491431315,-0.000562671374625393,-0.000761571578786806,-0.000572215717812268,0.146373673973828
trigg_cap8_tau0.6 vs fixed_f8,trigg_cap8_tau0.6,fixed_f8,repro,6,38134,-0.000488583034410108,-0.00107887747002501,9.88644965897529e-05,-1.61997200363988,0.105246559927429,0,0.389075365815283,-0.000486877508755492,-0.000488045983753991,-0.000470743244867937,-0.000402495775700554,-0.00049076366239507,0.153833430525838
trigg_cap8_tau0.6 vs fixed_f8,trigg_cap8_tau0.6,fixed_f8,repro,9,38134,-0.000263246366486749,-0.000998247056251882,0.000481480232332309,-0.702229576053291,0.482540289992294,0,0.389704725441863,-0.000622788592112913,-0.000704138728673177,-0.000667871360769442,-0.000487779843721191,-0.000882709181744556,0.159790593413148
trigg_cap8_tau0.6 vs fixed_f8,trigg_cap8_tau0.6,fixed_f8,repro,12,38134,-0.00010769189855226,-0.000964962921308231,0.000769859145388985,-0.244069868589277,0.807178021397441,0,0.391723920910474,-0.000964764718112318,-0.00112003647905275,-0.0011138766957375,-0.000665010373903898,-0.00162170150447265,0.164514437821246
trigg_cap8_tau0.6 vs fixed_f8,trigg_cap8_tau0.6,fixed_f8,repro,18,38134,0.000722946368073489,-0.000506762810613069,0.00195723473946241,1.15899704787957,0.24646464597937,0,0.389390045628573,-0.000882997903787465,-0.00131415592955867,-0.00137257502254745,-0.000142037239572069,-0.00192417563063088,0.173460326420093
aicc_gate_cap8_tau0.8 vs adaptive_cap8_tau0.8,aicc_gate_cap8_tau0.8,adaptive_cap8_tau0.8,secondary,3,38134,-0.00193610915870122,-0.00234405231157108,-0.00152188112309168,-9.03260221375913,1.75290178379912e-19,0,0.146535899722033,-0.00196396693581697,-0.00167797285474102,-0.00119316291374741,-0.00212312247480248,-0.00183190932531143,0.201805147948634
aicc_gate_cap8_tau0.8 vs adaptive_cap8_tau0.8,aicc_gate_cap8_tau0.8,adaptive_cap8_tau0.8,secondary,6,38134,0.00128217092552023,0.000726359220849257,0.00184136398194874,4.44001887988869,9.0203272988385e-06,0,0.13392248387266,0.000153548891846801,-0.000180274827787703,-0.000234222131306231,0.000557155033649058,-0.000568808019388047,0.221112715562579
aicc_gate_cap8_tau0.8 vs adaptive_cap8_tau0.8,aicc_gate_cap8_tau0.8,adaptive_cap8_tau0.8,secondary,9,38134,0.0023651164018121,0.00175142650787044,0.002992630642541,7.34163039517065,2.15211702231814e-13,0,0.126579954895893,0.00100697470838228,0.000558233122135776,0.000336132589195449,0.00147779375427206,0.000101918397721381,0.221351723186149
aicc_gate_cap8_tau0.8 vs adaptive_cap8_tau0.8,aicc_gate_cap8_tau0.8,adaptive_cap8_tau0.8,secondary,12,38134,0.00204156872668376,0.00140968571739579,0.00270450750943766,6.16101966863063,7.29994413769594e-10,0,0.126658624849216,0.00102825516669784,0.000755937986055854,0.000540636535288787,0.001384528023342,0.00049520068264778,0.209393199965364
aicc_gate_cap8_tau0.8 vs adaptive_cap8_tau0.8,aicc_gate_cap8_tau0.8,adaptive_cap8_tau0.8,secondary,18,38134,0.00258221497342212,0.00175949852949504,0.00342507203024785,6.02546467157242,1.70167078017773e-09,0,0.127655110924634,0.00158517136968701,0.00126024576297864,0.000883538140450588,0.00191426985179513,0.00117282949277758,0.202570473309597
aicc_gate_cap8_tau0.8 vs fixed_f4,aicc_gate_cap8_tau0.8,fixed_f4,secondary,3,38134,0.000127866739427955,-0.00024361698491984,0.000514713623089975,0.670583451550937,0.50248998875325,0,0.408690407510358,-1.46708184722214e-05,-3.95422227055478e-05,-1.42247615398345e-05,1.24297191443528e-05,-5.81922167250093e-05,0.12987816987247
aicc_gate_cap8_tau0.8 vs fixed_f4,aicc_gate_cap8_tau0.8,fixed_f4,secondary,6,38134,-0.000259908040764524,-0.000715849356485869,0.00020518467429245,-1.11575587540847,0.264533676918228,0,0.406592542088425,-0.000145829030547997,-0.000104620502778745,-5.99247807442176e-05,-0.000215352185059659,-4.32285199504007e-05,0.133167035488877
aicc_gate_cap8_tau0.8 vs fixed_f4,aicc_gate_cap8_tau0.8,fixed_f4,secondary,9,38134,8.6986928719155e-05,-0.000458584413936552,0.00062887067049631,0.317470028792718,0.750888715890414,0,0.404311113442073,0.000314331773993088,0.000353039260779347,0.000379027085728002,0.000236984643236477,0.00049495225794434,0.134512370394001
aicc_gate_cap8_tau0.8 vs fixed_f4,aicc_gate_cap8_tau0.8,fixed_f4,secondary,12,38134,0.000135111086000291,-0.000485268186628024,0.000743834666325512,0.432918826777025,0.665076190529407,0,0.404888026433104,0.000476571090985909,0.000521331576812592,0.00053228639807686,0.000406267344992143,0.000709317101666829,0.137704698116395
aicc_gate_cap8_tau0.8 vs fixed_f4,aicc_gate_cap8_tau0.8,fixed_f4,secondary,18,38134,-4.19901758200856e-05,-0.000869572371781258,0.000810718998876391,-0.0959570155341773,0.923555215838342,0,0.406618765406199,0.000542271061870329,0.00068032683906191,0.00070126997758033,0.000365415038449739,0.000919906381747149,0.146058693245042
aicc_gate_cap8_tau0.8 vs trigg_cap8_tau0.6,aicc_gate_cap8_tau0.8,trigg_cap8_tau0.6,secondary,3,38134,-9.68885457544023e-06,-0.00046558663971517,0.000459442398120457,-0.0411069949220216,0.967210813386052,0,0.393218650023601,-6.26209281272521e-05,2.71239503730902e-05,9.28385579467433e-05,-0.000138515178617114,2.48946246213287e-05,0.138673244710864
aicc_gate_cap8_tau0.8 vs trigg_cap8_tau0.6,aicc_gate_cap8_tau0.8,trigg_cap8_tau0.6,secondary,6,38134,-0.00126454096995557,-0.00185088021595209,-0.000671503897489291,-4.22330375259658,2.41304825943866e-05,0,0.394241359416793,-0.00079747057072305,-0.000504501369142796,-0.000312656665099457,-0.00106566737456796,-0.000393508168544107,0.145410948272768
aicc_gate_cap8_tau0.8 vs trigg_cap8_tau0.6,aicc_gate_cap8_tau0.8,trigg_cap8_tau0.6,secondary,9,38134,-0.00156589905811351,-0.00227628557326859,-0.000833301012658387,-4.26732860929409,1.9830449893531e-05,0,0.395762311847695,-0.000766877492716611,-0.000443708792808165,-0.000236182315825274,-0.00112820943493658,-0.000208773367259169,0.150366904987395
aicc_gate_cap8_tau0.8 vs trigg_cap8_tau0.6,aicc_gate_cap8_tau0.8,trigg_cap8_tau0.6,secondary,12,38134,-0.00148200206561318,-0.00233017708195241,-0.000645505241800978,-3.45139728696107,0.000558295974783493,0,0.3908847747417,-0.000327688876772848,1.99416004354557e-05,0.000195701424214777,-0.000762143139155546,0.000390699696510485,0.155469778545907
aicc_gate_cap8_tau0.8 vs trigg_cap8_tau0.6,aicc_gate_cap8_tau0.8,trigg_cap8_tau0.6,secondary,18,38134,-0.00240552335459252,-0.00355977908176444,-0.00123518090711229,-3.96145009544912,7.46313282188306e-05,0,0.392064824041538,-0.000524792960377088,4.56255620568079e-05,0.000273911681971483,-0.00131489724629575,0.000580783405074662,0.163394402524602
trigg_resid_cap8_tau0.3 vs fixed_f4,trigg_resid_cap8_tau0.3,fixed_f4,seeding,3,38134,0.000267308498190629,-0.000120158091071534,0.000632892049665695,1.38927671388576,0.164756734081074,0,0.46845334871768,0.000141496184556608,-1.92029980889197e-05,-0.000158622535131148,0.000273905492403793,3.75134725575683e-05,0.120885742643201
trigg_resid_cap8_tau0.3 vs fixed_f4,trigg_resid_cap8_tau0.3,fixed_f4,seeding,6,38134,0.000553552508106539,7.97460724838704e-05,0.00103408507433985,2.31116059773225,0.0208292914316529,0,0.466539046520166,0.000342149628870845,0.000130499749448,-3.4708616009127e-05,0.0005354058760369,0.000165718306528571,0.128983483171986
trigg_resid_cap8_tau0.3 vs fixed_f4,trigg_resid_cap8_tau0.3,fixed_f4,seeding,9,38134,0.000581953416549524,1.36832326636641e-05,0.00113066363119345,2.03908674371648,0.0414482515069194,0,0.466512823202392,0.000299602665835345,0.000113664104180972,-1.92966028922084e-05,0.000493000055440818,0.000157538067662914,0.133586602484702
trigg_resid_cap8_tau0.3 vs fixed_f4,trigg_resid_cap8_tau0.3,fixed_f4,seeding,12,38134,0.00027988779884648,-0.000358156066330538,0.000931310658437365,0.851484621233137,0.394505549618875,0,0.469554728064195,-0.00011402305031135,-0.000253623396786846,-0.000325872405870077,4.75525890186027e-05,-0.000360891237333747,0.140200554753704
trigg_resid_cap8_tau0.3 vs fixed_f4,trigg_resid_cap8_tau0.3,fixed_f4,seeding,18,38134,0.000415913817556086,-0.000458112593626015,0.00131280155536264,0.9116790567818,0.361943455114595,0,0.467089736193423,-0.000257283774293383,-0.000409349149140409,-0.000494351179502596,-1.75088761872293e-05,-0.000672936971522271,0.147092894309512
trigg_resid_cap8_tau0.3 vs fixed_f8,trigg_resid_cap8_tau0.3,fixed_f8,seeding,3,38134,-0.000834621823120008,-0.00131974430573763,-0.00036609336062249,-3.38409383313801,0.00071485472769568,0,0.467378192688939,-0.000570210219597006,-0.000517926384266627,-0.000461042734991779,-0.000593605462850855,-0.000486760835870641,0.119642160275471
trigg_resid_cap8_tau0.3 vs fixed_f8,trigg_resid_cap8_tau0.3,fixed_f8,seeding,6,38134,-0.000939663455494617,-0.00153002472056564,-0.000334986265052869,-3.08411520853874,0.00204304406069408,0,0.465175433995909,-0.000734193360868553,-0.000692804195515915,-0.00061512762617052,-0.000752845650922234,-0.00062702100550525,0.126481361885861
trigg_resid_cap8_tau0.3 vs fixed_f8,trigg_resid_cap8_tau0.3,fixed_f8,seeding,9,38134,-0.00133417893676989,-0.00203804077966322,-0.000610518933333684,-3.62680621917837,0.000287322469449318,0,0.466329259977972,-0.00123301630533398,-0.00118616651358601,-0.00106641422250473,-0.0012480196537029,-0.00115800083219058,0.130634561042201
trigg_resid_cap8_tau0.3 vs fixed_f8,trigg_resid_cap8_tau0.3,fixed_f8,seeding,12,38134,-0.00144491725131925,-0.00226309141453477,-0.000615079598481971,-3.42304748914106,0.000619882945995076,0,0.467142182828972,-0.00164855222464431,-0.00160322663983458,-0.00145913902803844,-0.00158937429667569,-0.00190107930029833,0.133824123947859
trigg_resid_cap8_tau0.3 vs fixed_f8,trigg_resid_cap8_tau0.3,fixed_f8,seeding,18,38134,-0.00122467299314286,-0.00236449770168176,-7.05064099437533e-05,-2.0873314278195,0.0368648078792973,0,0.463287355116169,-0.00186414901760736,-0.00197677084767363,-0.00188955357211531,-0.00157367271642077,-0.00240211080233229,0.139853948044647
trigg_resid_cap8_tau0.3 vs trigg_cap8_tau0.6,trigg_resid_cap8_tau0.3,trigg_cap8_tau0.6,seeding,3,38134,0.000129752904187234,-0.000261677479443504,0.000532999640873824,0.63018875025118,0.5285748748643,0,0.456416845859338,0.000155792407710346,9.26550307885427e-05,6.55104831732386e-05,0.000191418446511798,0.000151065708669592,0.121464431000656
trigg_resid_cap8_tau0.3 vs trigg_cap8_tau0.6,trigg_resid_cap8_tau0.3,trigg_cap8_tau0.6,seeding,6,38134,-0.000451080421084509,-0.00097935862034119,6.68709996756386e-05,-1.697041576131,0.0896969611016658,0,0.45227356165102,-0.00018902884827842,-0.000137565327263834,-0.000117983652992017,-0.000266093138493489,-7.30281882961681e-05,0.129796889513112
trigg_resid_cap8_tau0.3 vs trigg_cap8_tau0.6,trigg_resid_cap8_tau0.3,trigg_cap8_tau0.6,seeding,9,38134,-0.00107093257028314,-0.00170823295631744,-0.00044011592693147,-3.32795217734482,0.000875696418953446,0,0.455787486232758,-0.000543467507273125,-0.000444696044835832,-0.000378292879772207,-0.000694758942848576,-0.00029796191639767,0.132893739926366
trigg_resid_cap8_tau0.3 vs trigg_cap8_tau0.6,trigg_resid_cap8_tau0.3,trigg_cap8_tau0.6,seeding,12,38134,-0.00133722535276699,-0.00206109005151981,-0.00060183887251953,-3.60381083358598,0.000313984413545002,0,0.455499029737242,-0.000610945016574034,-0.000495841630493895,-0.000423284019082882,-0.000722471914772405,-0.000439555446793551,0.136871001476552
