contrast,lead,n_series,mean_diff,boot_lo,boot_hi
aicc_gate_cap8_tau0.8 vs fixed_f8,1,38134,-0.000440224043212928,-0.00062239459446421,-0.000254244505264185
aicc_gate_cap8_tau0.8 vs fixed_f8,2,38134,-0.00093101423448059,-0.00119630842610322,-0.000673877345443029
aicc_gate_cap8_tau0.8 vs fixed_f8,3,38134,-0.00155095246795453,-0.00189115001610038,-0.00123307462245617
aicc_gate_cap8_tau0.8 vs fixed_f8,4,38134,-0.00226363684903721,-0.00267840791945683,-0.00185622395167496
aicc_gate_cap8_tau0.8 vs fixed_f8,5,38134,-0.00272581427765656,-0.00321051513514357,-0.00225861634012934
aicc_gate_cap8_tau0.8 vs fixed_f8,6,38134,-0.00260710215385226,-0.00312329339759999,-0.00206756294847159
aicc_gate_cap8_tau0.8 vs fixed_f8,7,38134,-0.00218865479309278,-0.0027803523140257,-0.00165131042009683
aicc_gate_cap8_tau0.8 vs fixed_f8,8,38134,-0.00200627766496043,-0.00261402603315615,-0.0014405819842946
aicc_gate_cap8_tau0.8 vs fixed_f8,9,38134,-0.00174863233715505,-0.00235377142234676,-0.00113737646872085
aicc_gate_cap8_tau0.8 vs fixed_f8,10,38134,-0.00123148973848507,-0.00185069421079173,-0.000548318975925769
aicc_gate_cap8_tau0.8 vs fixed_f8,11,38134,-0.00082448662696009,-0.00149223906678033,-0.000199099776634299
aicc_gate_cap8_tau0.8 vs fixed_f8,12,38134,-0.000558042383137754,-0.00123834461798906,0.000153672284651588
aicc_gate_cap8_tau0.8 vs fixed_f8,13,38134,-0.000757319245285457,-0.001561611850404,2.55666599492033e-05
aicc_gate_cap8_tau0.8 vs fixed_f8,14,38134,-0.00115526968333539,-0.00203905459033216,-0.000332137919409071
aicc_gate_cap8_tau0.8 vs fixed_f8,15,38134,-0.00164154117786125,-0.00252751827471734,-0.000725602062796279
aicc_gate_cap8_tau0.8 vs fixed_f8,16,38134,-0.00224525496757621,-0.00329208072225325,-0.00126936514570657
aicc_gate_cap8_tau0.8 vs fixed_f8,17,38134,-0.00265044043738511,-0.00373641980075829,-0.00155408739012627
aicc_gate_cap8_tau0.8 vs fixed_f8,18,38134,-0.00276023267591385,-0.00393099436829531,-0.00163314331116196
adaptive_cap8_tau0.8 vs fixed_f8,1,38134,0.00462590326341494,0.00423537559693262,0.00501471008776737
adaptive_cap8_tau0.8 vs fixed_f8,2,38134,0.000703103834747833,0.000231529050445907,0.00119215393311392
adaptive_cap8_tau0.8 vs fixed_f8,3,38134,-0.00244287036770716,-0.00307459789699919,-0.00179467557045559
adaptive_cap8_tau0.8 vs fixed_f8,4,38134,-0.00549787598967184,-0.00625372867205108,-0.0047060021548624
adaptive_cap8_tau0.8 vs fixed_f8,5,38134,-0.00748874182634207,-0.00837152985726132,-0.0065958689894167
adaptive_cap8_tau0.8 vs fixed_f8,6,38134,-0.00811128849375714,-0.00905947543940109,-0.00719345380957162
adaptive_cap8_tau0.8 vs fixed_f8,7,38134,-0.00757525869997419,-0.00855176001811637,-0.00661010410565609
adaptive_cap8_tau0.8 vs fixed_f8,8,38134,-0.00673005845470579,-0.00775943015386452,-0.00574963623337375
adaptive_cap8_tau0.8 vs fixed_f8,9,38134,-0.00523126970371579,-0.00615142766518629,-0.00421727121810692
adaptive_cap8_tau0.8 vs fixed_f8,10,38134,-0.00327767928294356,-0.00430978974012659,-0.00233847437654629
adaptive_cap8_tau0.8 vs fixed_f8,11,38134,-0.00142840637522821,-0.00243049172745233,-0.000406654122885414
adaptive_cap8_tau0.8 vs fixed_f8,12,38134,-0.00112071019430737,-0.00220506003315306,-2.65974308132414e-05
adaptive_cap8_tau0.8 vs fixed_f8,13,38134,-0.000957294534745137,-0.00217140332282689,0.000238315387915745
adaptive_cap8_tau0.8 vs fixed_f8,14,38134,-0.00305796671482216,-0.00444770496235049,-0.00176219762683988
adaptive_cap8_tau0.8 vs fixed_f8,15,38134,-0.00512163068628558,-0.00661935025814051,-0.00368911068072905
adaptive_cap8_tau0.8 vs fixed_f8,16,38134,-0.00705659964845881,-0.00865126208364241,-0.00547524328715195
adaptive_cap8_tau0.8 vs fixed_f8,17,38134,-0.00827074205805435,-0.00992343078620493,-0.00666465268079953
adaptive_cap8_tau0.8 vs fixed_f8,18,38134,-0.00872686934638432,-0.0104636944835865,-0.0069075617989634
