contrast,lead,n_series,mean_diff,boot_lo,boot_hi
aicc_gate_cap8_tau0.8 vs fixed_f8,1,38134,-0.000440224043212928,-0.000630137924234307,-0.000259880960756374
aicc_gate_cap8_tau0.8 vs fixed_f8,2,38134,-0.00093101423448059,-0.0011788371163035,-0.000661397184125839
aicc_gate_cap8_tau0.8 vs fixed_f8,3,38134,-0.00155095246795453,-0.00189639141742564,-0.0012072824495907
aicc_gate_cap8_tau0.8 vs fixed_f8,4,38134,-0.00226363684903721,-0.00267736331659533,-0.00183765727556218
aicc_gate_cap8_tau0.8 vs fixed_f8,5,38134,-0.00272581427765656,-0.0032153889304693,-0.00224073432715117
aicc_gate_cap8_tau0.8 vs fixed_f8,6,38134,-0.00260710215385226,-0.00313975353609569,-0.0020592427470667
aicc_gate_cap8_tau0.8 vs fixed_f8,7,38134,-0.00218865479309278,-0.00274539762711127,-0.0016418933447976
aicc_gate_cap8_tau0.8 vs fixed_f8,8,38134,-0.00200627766496043,-0.00257786391410972,-0.00144465304884782
aicc_gate_cap8_tau0.8 vs fixed_f8,9,38134,-0.00174863233715505,-0.00235205635542005,-0.0011372182348125
aicc_gate_cap8_tau0.8 vs fixed_f8,10,38134,-0.00123148973848507,-0.0019085053194081,-0.000580454343916597
aicc_gate_cap8_tau0.8 vs fixed_f8,11,38134,-0.00082448662696009,-0.00149541816638451,-0.000169073981372859
aicc_gate_cap8_tau0.8 vs fixed_f8,12,38134,-0.000558042383137754,-0.00126385676466875,0.000167989477470781
aicc_gate_cap8_tau0.8 vs fixed_f8,13,38134,-0.000757319245285457,-0.0015415771013198,-3.33704745310974e-06
aicc_gate_cap8_tau0.8 vs fixed_f8,14,38134,-0.00115526968333539,-0.0020158520527436,-0.000273693222989994
aicc_gate_cap8_tau0.8 vs fixed_f8,15,38134,-0.00164154117786125,-0.00254558095575439,-0.000766191372864455
aicc_gate_cap8_tau0.8 vs fixed_f8,16,38134,-0.00224525496757621,-0.0032448590215996,-0.00121955952568508
aicc_gate_cap8_tau0.8 vs fixed_f8,17,38134,-0.00265044043738511,-0.00374532015781545,-0.00159724474443995
aicc_gate_cap8_tau0.8 vs fixed_f8,18,38134,-0.00276023267591385,-0.0039452800008097,-0.00159732364625335
adaptive_cap8_tau0.8 vs fixed_f8,1,38134,0.00462590326341494,0.00422685097839245,0.00499813190444574
adaptive_cap8_tau0.8 vs fixed_f8,2,38134,0.000703103834747833,0.000220881234498111,0.00117544920749371
adaptive_cap8_tau0.8 vs fixed_f8,3,38134,-0.00244287036770716,-0.00306173046087211,-0.00181715440428433
adaptive_cap8_tau0.8 vs fixed_f8,4,38134,-0.00549787598967184,-0.00628448401952653,-0.004694846095544
adaptive_cap8_tau0.8 vs fixed_f8,5,38134,-0.00748874182634207,-0.00841822082746222,-0.00660736203557198
adaptive_cap8_tau0.8 vs fixed_f8,6,38134,-0.00811128849375714,-0.00907821649740092,-0.00712839023426954
adaptive_cap8_tau0.8 vs fixed_f8,7,38134,-0.00757525869997419,-0.00857780342899925,-0.00655558476434421
adaptive_cap8_tau0.8 vs fixed_f8,8,38134,-0.00673005845470579,-0.00777489726086054,-0.00574241546907054
adaptive_cap8_tau0.8 vs fixed_f8,9,38134,-0.00523126970371579,-0.00625247110875662,-0.00424661971130654
adaptive_cap8_tau0.8 vs fixed_f8,10,38134,-0.00327767928294356,-0.00431374337202073,-0.00230714057376554
adaptive_cap8_tau0.8 vs fixed_f8,11,38134,-0.00142840637522821,-0.00243468665413779,-0.00047295368889897
adaptive_cap8_tau0.8 vs fixed_f8,12,38134,-0.00112071019430737,-0.00224136503726255,-4.24078779854174e-05
adaptive_cap8_tau0.8 vs fixed_f8,13,38134,-0.000957294534745137,-0.00214419628884551,0.000261046853980363
adaptive_cap8_tau0.8 vs fixed_f8,14,38134,-0.00305796671482216,-0.0044021050276977,-0.00170366620419285
adaptive_cap8_tau0.8 vs fixed_f8,15,38134,-0.00512163068628558,-0.00655756701312944,-0.00363871469151234
adaptive_cap8_tau0.8 vs fixed_f8,16,38134,-0.00705659964845881,-0.00871097356392118,-0.00549202633233649
adaptive_cap8_tau0.8 vs fixed_f8,17,38134,-0.00827074205805435,-0.00999205197101913,-0.00660130997905912
adaptive_cap8_tau0.8 vs fixed_f8,18,38134,-0.00872686934638432,-0.0104374032970828,-0.00693323692159512
