contrast,lead,n_series,mean_diff,boot_lo,boot_hi
aicc_gate_cap8_tau0.8 vs fixed_f8,1,38134,-0.000440224043212928,-0.000634184571412198,-0.000251032303511561
aicc_gate_cap8_tau0.8 vs fixed_f8,2,38134,-0.00093101423448059,-0.00118195385531497,-0.000662811949295144
aicc_gate_cap8_tau0.8 vs fixed_f8,3,38134,-0.00155095246795453,-0.00186514361721374,-0.00120906434320152
aicc_gate_cap8_tau0.8 vs fixed_f8,4,38134,-0.00226363684903721,-0.00269025647597909,-0.00186088662446779
aicc_gate_cap8_tau0.8 vs fixed_f8,5,38134,-0.00272581427765656,-0.00321832002900181,-0.00227226370765194
aicc_gate_cap8_tau0.8 vs fixed_f8,6,38134,-0.00260710215385226,-0.00316033497154437,-0.0020870277488269
aicc_gate_cap8_tau0.8 vs fixed_f8,7,38134,-0.00218865479309278,-0.0027578602836678,-0.00163588114795889
aicc_gate_cap8_tau0.8 vs fixed_f8,8,38134,-0.00200627766496043,-0.00260683474438367,-0.00141416263825518
aicc_gate_cap8_tau0.8 vs fixed_f8,9,38134,-0.00174863233715505,-0.00238153807237514,-0.00111821517155122
aicc_gate_cap8_tau0.8 vs fixed_f8,10,38134,-0.00123148973848507,-0.00182969126460041,-0.000583101516793649
aicc_gate_cap8_tau0.8 vs fixed_f8,11,38134,-0.00082448662696009,-0.00151216769171218,-0.000160756098379362
aicc_gate_cap8_tau0.8 vs fixed_f8,12,38134,-0.000558042383137754,-0.00128798322773987,0.000140882142945261
aicc_gate_cap8_tau0.8 vs fixed_f8,13,38134,-0.000757319245285457,-0.00152770850143537,-1.12703738955287e-06
aicc_gate_cap8_tau0.8 vs fixed_f8,14,38134,-0.00115526968333539,-0.00203437242140877,-0.000315751822246015
aicc_gate_cap8_tau0.8 vs fixed_f8,15,38134,-0.00164154117786125,-0.00259799598918693,-0.00070776208599358
aicc_gate_cap8_tau0.8 vs fixed_f8,16,38134,-0.00224525496757621,-0.00327610820405665,-0.00125892873102965
aicc_gate_cap8_tau0.8 vs fixed_f8,17,38134,-0.00265044043738511,-0.00373665607765032,-0.00151426378076648
aicc_gate_cap8_tau0.8 vs fixed_f8,18,38134,-0.00276023267591385,-0.00387918173518153,-0.00160702530126719
adaptive_cap8_tau0.8 vs fixed_f8,1,38134,0.00462590326341494,0.00423843046697017,0.00499977673966595
adaptive_cap8_tau0.8 vs fixed_f8,2,38134,0.000703103834747833,0.000254415306090881,0.00119616105453257
adaptive_cap8_tau0.8 vs fixed_f8,3,38134,-0.00244287036770716,-0.00307685484870206,-0.00182443342906858
adaptive_cap8_tau0.8 vs fixed_f8,4,38134,-0.00549787598967184,-0.00629555346111169,-0.00471599849305609
adaptive_cap8_tau0.8 vs fixed_f8,5,38134,-0.00748874182634207,-0.00836462291992841,-0.00661850976903938
adaptive_cap8_tau0.8 vs fixed_f8,6,38134,-0.00811128849375714,-0.0090183770167701,-0.00708759193770118
adaptive_cap8_tau0.8 vs fixed_f8,7,38134,-0.00757525869997419,-0.0085836407337344,-0.0065915778281458
adaptive_cap8_tau0.8 vs fixed_f8,8,38134,-0.00673005845470579,-0.00772661337629905,-0.00574991730865089
adaptive_cap8_tau0.8 vs fixed_f8,9,38134,-0.00523126970371579,-0.00621372515484377,-0.00430533480095555
adaptive_cap8_tau0.8 vs fixed_f8,10,38134,-0.00327767928294356,-0.00430090238234576,-0.00234205294966974
adaptive_cap8_tau0.8 vs fixed_f8,11,38134,-0.00142840637522821,-0.00248407289866123,-0.00042013026437155
adaptive_cap8_tau0.8 vs fixed_f8,12,38134,-0.00112071019430737,-0.00218905737288385,-7.96362505658428e-05
adaptive_cap8_tau0.8 vs fixed_f8,13,38134,-0.000957294534745137,-0.00211166476936018,0.000238879767480376
adaptive_cap8_tau0.8 vs fixed_f8,14,38134,-0.00305796671482216,-0.00443574256648359,-0.00176237348293104
adaptive_cap8_tau0.8 vs fixed_f8,15,38134,-0.00512163068628558,-0.00652775249663993,-0.00365545899918428
adaptive_cap8_tau0.8 vs fixed_f8,16,38134,-0.00705659964845881,-0.00865677267484838,-0.00552542954553569
adaptive_cap8_tau0.8 vs fixed_f8,17,38134,-0.00827074205805435,-0.00988407085736417,-0.00657853008695348
adaptive_cap8_tau0.8 vs fixed_f8,18,38134,-0.00872686934638432,-0.0105731729831948,-0.00695201918004965
