policy,n_series,searches_per_series,changes_per_series,cap,initial,monitor,none,score,run
adaptive_cap8_tau0.8,47982,5.09774498770372,2.18456921345505,3.766,1,0,0,0.331,outputs/m4_tracking_signal
brown_cap8_tau0.4,47982,11.787503647201,3.80253011545996,0.005,1,10.782,0,0,outputs/m4_tracking_signal
brown_cap8_tau0.5,47982,11.663102830228,3.77297736651244,0.007,1,10.656,0,0,outputs/m4_tracking_signal
brown_cap8_tau0.6,47982,11.5204868492351,3.74013171606019,0.012,1,10.508,0,0,outputs/m4_tracking_signal
brown_tau0.4,47982,11.7825434537952,3.80161310491434,0,1,10.783,0,0,outputs/m4_tracking_signal
brown_tau0.5,47982,11.6569130090451,3.77170605643783,0,1,10.657,0,0,outputs/m4_tracking_signal
brown_tau0.6,47982,11.5113792672252,3.73788087199366,0,1,10.511,0,0,outputs/m4_tracking_signal
fixed_f12,47982,3,1.05854278687841,0,0,0,3,0,outputs/m4_tracking_signal
fixed_f6,47982,6,2.1691467633696,0,0,0,6,0,outputs/m4_tracking_signal
fixed_f8,47982,5,1.8881247134342,0,0,0,5,0,outputs/m4_tracking_signal
full_update,47982,36,8.42238756200242,0,0,0,36,0,outputs/m4_tracking_signal
parameter_only,47982,1,0,0,0,0,1,0,outputs/m4_tracking_signal
trigg_cap8_tau0.4,47982,10.4780334292026,3.46844650077112,0.37,1,9.108,0,0,outputs/m4_tracking_signal
trigg_cap8_tau0.5,47982,9.74436246925931,3.26947605352007,0.746,1,7.998,0,0,outputs/m4_tracking_signal
trigg_cap8_tau0.6,47982,8.96715434954775,3.05870951606853,1.223,1,6.744,0,0,outputs/m4_tracking_signal
trigg_tau0.4,47982,10.0738401900713,3.34452503021967,0,1,9.074,0,0,outputs/m4_tracking_signal
trigg_tau0.5,47982,8.72256262765204,2.93933141594765,0,1,7.723,0,0,outputs/m4_tracking_signal
trigg_tau0.6,47982,6.99220541036222,2.38554041098745,0,1,5.992,0,0,outputs/m4_tracking_signal
adaptive_cap8_tau0.8,4000,5.08025,2.147,3.781,1,0,0,0.3,outputs/m4_tracking_signal_h03
brown_cap8_tau0.5,4000,11.65725,3.7165,0.005,1,10.652,0,0,outputs/m4_tracking_signal_h03
brown_cap8_tau0.6,4000,11.51675,3.695,0.01,1,10.507,0,0,outputs/m4_tracking_signal_h03
fixed_f8,4000,5,1.87675,0,0,0,5,0,outputs/m4_tracking_signal_h03
parameter_only,4000,1,0,0,0,0,1,0,outputs/m4_tracking_signal_h03
trigg_cap8_tau0.5,4000,9.7495,3.2215,0.718,1,8.032,0,0,outputs/m4_tracking_signal_h03
trigg_cap8_tau0.6,4000,8.95925,3.01575,1.191,1,6.768,0,0,outputs/m4_tracking_signal_h03
adaptive_cap8_tau0.8,4000,5.09775,2.167,3.758,1,0,0,0.34,outputs/m4_tracking_signal_h06
brown_cap8_tau0.5,4000,11.66375,3.7415,0.005,1,10.659,0,0,outputs/m4_tracking_signal_h06
brown_cap8_tau0.6,4000,11.525,3.72225,0.009,1,10.516,0,0,outputs/m4_tracking_signal_h06
fixed_f8,4000,5,1.854,0,0,0,5,0,outputs/m4_tracking_signal_h06
parameter_only,4000,1,0,0,0,0,1,0,outputs/m4_tracking_signal_h06
trigg_cap8_tau0.5,4000,9.77975,3.25025,0.717,1,8.063,0,0,outputs/m4_tracking_signal_h06
trigg_cap8_tau0.6,4000,9.0115,3.04825,1.192,1,6.819,0,0,outputs/m4_tracking_signal_h06
adaptive_cap8_tau0.8,4000,5.07725,2.137,3.769,1,0,0,0.308,outputs/m4_tracking_signal_h09
brown_cap8_tau0.5,4000,11.663,3.7515,0.005,1,10.658,0,0,outputs/m4_tracking_signal_h09
brown_cap8_tau0.6,4000,11.5285,3.7335,0.009,1,10.52,0,0,outputs/m4_tracking_signal_h09
fixed_f8,4000,5,1.86425,0,0,0,5,0,outputs/m4_tracking_signal_h09
parameter_only,4000,1,0,0,0,0,1,0,outputs/m4_tracking_signal_h09
trigg_cap8_tau0.5,4000,9.77825,3.26225,0.727,1,8.051,0,0,outputs/m4_tracking_signal_h09
trigg_cap8_tau0.6,4000,9.0115,3.059,1.206,1,6.806,0,0,outputs/m4_tracking_signal_h09
adaptive_cap8_tau0.8,4000,5.094,2.19125,3.768,1,0,0,0.326,outputs/m4_tracking_signal_h12
brown_cap8_tau0.5,4000,11.65625,3.72925,0.004,1,10.652,0,0,outputs/m4_tracking_signal_h12
brown_cap8_tau0.6,4000,11.525,3.71875,0.01,1,10.515,0,0,outputs/m4_tracking_signal_h12
fixed_f8,4000,5,1.8925,0,0,0,5,0,outputs/m4_tracking_signal_h12
parameter_only,4000,1,0,0,0,0,1,0,outputs/m4_tracking_signal_h12
trigg_cap8_tau0.5,4000,9.789,3.26275,0.72,1,8.069,0,0,outputs/m4_tracking_signal_h12
trigg_cap8_tau0.6,4000,9.03225,3.06025,1.185,1,6.848,0,0,outputs/m4_tracking_signal_h12
adaptive_cap8_tau0.8,4000,5.08975,2.17375,3.758,1,0,0,0.332,outputs/m4_tracking_signal_h18
brown_cap8_tau0.5,4000,11.6515,3.77375,0.005,1,10.646,0,0,outputs/m4_tracking_signal_h18
brown_cap8_tau0.6,4000,11.50875,3.75175,0.011,1,10.498,0,0,outputs/m4_tracking_signal_h18
fixed_f8,4000,5,1.88475,0,0,0,5,0,outputs/m4_tracking_signal_h18
parameter_only,4000,1,0,0,0,0,1,0,outputs/m4_tracking_signal_h18
trigg_cap8_tau0.5,4000,9.7765,3.28225,0.724,1,8.053,0,0,outputs/m4_tracking_signal_h18
trigg_cap8_tau0.6,4000,8.996,3.0665,1.205,1,6.791,0,0,outputs/m4_tracking_signal_h18
fixed_f4,4000,9,2.9945,0,0,,9,0,outputs/m4_final_h03
scoregate_aicc_cap8_tau0.8,4000,5.206,1.932,3.764,1,,0,0.442,outputs/m4_final_h03
fixed_f4,4000,9,3.0205,0,0,,9,0,outputs/m4_final_h06
scoregate_aicc_cap8_tau0.8,4000,5.23125,1.9315,3.745,1,,0,0.486,outputs/m4_final_h06
fixed_f4,4000,9,3.01675,0,0,,9,0,outputs/m4_final_h09
scoregate_aicc_cap8_tau0.8,4000,5.19725,1.91425,3.76,1,,0,0.438,outputs/m4_final_h09
fixed_f4,4000,9,3.02075,0,0,,9,0,outputs/m4_final_h12
scoregate_aicc_cap8_tau0.8,4000,5.2245,1.95575,3.738,1,,0,0.486,outputs/m4_final_h12
fixed_f4,4000,9,3.04375,0,0,,9,0,outputs/m4_final_h18
scoregate_aicc_cap8_tau0.8,4000,5.20625,1.92525,3.74,1,,0,0.466,outputs/m4_final_h18
adaptive_cap8_tau0.8,38134,5.09783919861541,2.20039859443017,3.742,1,0,0,0.356,outputs/m4_tracking_signal_h18_full
brown_cap8_tau0.5,38134,11.6565007604762,3.72753972832643,0.009,1,10.648,0,0,outputs/m4_tracking_signal_h18_full
brown_cap8_tau0.6,38134,11.5167042534221,3.69641265012849,0.013,1,10.504,0,0,outputs/m4_tracking_signal_h18_full
fixed_f8,38134,5,1.88118214716526,0,0,0,5,0,outputs/m4_tracking_signal_h18_full
parameter_only,38134,1,0,0,0,0,1,0,outputs/m4_tracking_signal_h18_full
trigg_cap8_tau0.5,38134,9.76561598573451,3.24046782398909,0.742,1,8.023,0,0,outputs/m4_tracking_signal_h18_full
trigg_cap8_tau0.6,38134,8.99158231499449,3.03196622436671,1.211,1,6.781,0,0,outputs/m4_tracking_signal_h18_full
