comparison,horizon,n_series,mean,t,ci_lo,ci_hi,share_a_worse,median,q10,q90,trim1,trim2.5,trim5,winsor1,mean_wo_top1pct,a,b
trigg vs fixed_f4 (rate-matched),3,4000,-0.0012897760922987,-2.24340889848672,-0.00249148426471993,-0.000155026541243866,0.483801295896328,0,-0.0311022874599442,0.0268270628111828,-0.00126698466412145,-0.00114263425213041,-0.00102009099371147,-0.00126317196497107,-0.00134685168247006,trigg_cap8_tau0.6 @ outputs/m4_tracking_signal_h03,fixed_f4 @ outputs/m4_final_h03
scoregate_aicc vs trigg (deconfounded),3,4000,0.000639960346989678,0.957125941550861,-0.000694691629752406,0.00194084916050512,0.502751788662631,0,-0.0313602286795819,0.035471242035556,0.000585811812189001,0.000622231534884466,0.000579701677888404,0.000608672294902694,0.000527032916666506,scoregate_aicc_cap8_tau0.8 @ outputs/m4_final_h03,trigg_cap8_tau0.6 @ outputs/m4_tracking_signal_h03
scoregate_aicc vs fixed_f8,3,4000,-0.00131828358054439,-3.2495359466732,-0.00207152141877906,-0.000529624224876447,0.491625615763547,0,-0.00110979015302453,0.00035632127036886,-0.00078008745273321,-0.000421075210211694,-0.000170462158854974,-0.000959835562511307,-0.000338187485095864,scoregate_aicc_cap8_tau0.8 @ outputs/m4_final_h03,fixed_f8 @ outputs/m4_tracking_signal_h03
trigg vs fixed_f4 (rate-matched),6,4000,-0.000159601654640237,-0.22201940779184,-0.00161737517202543,0.00118960983827865,0.488143908421913,0,-0.036376259947281,0.0347188660638297,-0.000529027386702709,-0.000607858207783558,-0.000595542181753704,-0.000434583563895955,-0.000819723310743389,trigg_cap8_tau0.6 @ outputs/m4_tracking_signal_h06,fixed_f4 @ outputs/m4_final_h06
scoregate_aicc vs trigg (deconfounded),6,4000,0.000451623538689887,0.53430902876178,-0.00117770919717565,0.00209141235487019,0.511460922397128,0,-0.0424970727566344,0.0432052588330577,0.000510157038826979,0.000447966303271159,0.000364368212459518,0.000488809559873722,0.000718188290656988,scoregate_aicc_cap8_tau0.8 @ outputs/m4_final_h06,trigg_cap8_tau0.6 @ outputs/m4_tracking_signal_h06
scoregate_aicc vs fixed_f8,6,4000,-0.000739780858039056,-1.27052161544728,-0.00193232674675251,0.000389121227629562,0.502356267672008,0,-0.00264295973346122,0.00077499059765975,-0.000722186126062849,-0.000535410854566912,-0.000335993709085627,-0.000763603266116069,-0.000771316430420271,scoregate_aicc_cap8_tau0.8 @ outputs/m4_final_h06,fixed_f8 @ outputs/m4_tracking_signal_h06
trigg vs fixed_f4 (rate-matched),9,4000,-0.000609961320823085,-0.665188571437152,-0.00241255525325967,0.00117132448397375,0.483252296056186,0,-0.0446493043321794,0.0418564725510328,-0.00078039219688228,-0.000795151502580896,-0.000796568893876803,-0.000749325643541086,-0.000967160822814353,trigg_cap8_tau0.6 @ outputs/m4_tracking_signal_h09,fixed_f4 @ outputs/m4_final_h09
scoregate_aicc vs trigg (deconfounded),9,4000,-0.000472253872934081,-0.445509055468976,-0.00251091467223836,0.0016131447287933,0.510934937124112,0,-0.0517841110151786,0.0540702769436648,-1.24933193513926e-05,0.00029849657266971,0.000443015928521288,-0.000360645241527508,0.000336846879037897,scoregate_aicc_cap8_tau0.8 @ outputs/m4_final_h09,trigg_cap8_tau0.6 @ outputs/m4_tracking_signal_h09
scoregate_aicc vs fixed_f8,9,4000,-0.00169043445264133,-2.7809004742296,-0.00288865244559942,-0.000526309855118795,0.45945945945946,0,-0.00296012265636027,6.23045303307914e-05,-0.00125004165167415,-0.000893982945631118,-0.000534971902695306,-0.00141414357097743,-0.000994243066464822,scoregate_aicc_cap8_tau0.8 @ outputs/m4_final_h09,fixed_f8 @ outputs/m4_tracking_signal_h09
trigg vs fixed_f4 (rate-matched),12,4000,-0.00165775858167136,-1.67660162421555,-0.00362517539699287,0.000250424363409404,0.484193461226696,0,-0.0500391005771359,0.0480249694887535,-0.00101260617049738,-0.000896894616135149,-0.0007965884990492,-0.00109014863804553,-0.000615007642196979,trigg_cap8_tau0.6 @ outputs/m4_tracking_signal_h12,fixed_f4 @ outputs/m4_final_h12
scoregate_aicc vs trigg (deconfounded),12,4000,0.00230614193470102,2.21492574484755,0.00028477135123971,0.00441422751383558,0.516588977241568,0,-0.0557291953313447,0.0612424004127465,0.00198859651152334,0.00165206346267358,0.00143362790602624,0.00209457059448767,0.00147392010708873,scoregate_aicc_cap8_tau0.8 @ outputs/m4_final_h12,trigg_cap8_tau0.6 @ outputs/m4_tracking_signal_h12
scoregate_aicc vs fixed_f8,12,4000,-0.00176452323239739,-2.54644816696104,-0.00312162597356772,-0.000424961415222953,0.477460901563937,0,-0.00653438634566026,0.000980219745626339,-0.00113091118978501,-0.000810858465207419,-0.000506640406304807,-0.00129884927689551,-0.0010046181201684,scoregate_aicc_cap8_tau0.8 @ outputs/m4_final_h12,fixed_f8 @ outputs/m4_tracking_signal_h12
trigg vs fixed_f4 (rate-matched),18,4000,0.00120697577834764,0.73633893533791,-0.00185368783135195,0.00446685066805617,0.491838373026492,0,-0.0666617437793111,0.0688807351512899,0.000662634968661957,0.000417711856407001,7.03538325555286e-05,0.000930682827010614,0.000300301034381554,trigg_cap8_tau0.6 @ outputs/m4_tracking_signal_h18,fixed_f4 @ outputs/m4_final_h18
scoregate_aicc vs trigg (deconfounded),18,4000,-0.00116384583990697,-0.672343872571239,-0.00444684405570012,0.00216167632293457,0.502449646162221,0,-0.0801091965179945,0.080571957456236,-0.00100809570869718,-0.000261292165396572,0.000271649419724914,-0.00112979269431145,-0.00114120474172874,scoregate_aicc_cap8_tau0.8 @ outputs/m4_final_h18,trigg_cap8_tau0.6 @ outputs/m4_tracking_signal_h18
scoregate_aicc vs fixed_f8,18,4000,-0.00212256852984263,-2.62910611278861,-0.00366411089232456,-0.000567059680242336,0.451923076923077,0,-0.0066166609182681,6.64592312968751e-05,-0.00208044922956745,-0.00147452778296063,-0.000929445317536384,-0.00227554539564049,-0.0016095189737568,scoregate_aicc_cap8_tau0.8 @ outputs/m4_final_h18,fixed_f8 @ outputs/m4_tracking_signal_h18
FULL SCALE trigg vs fixed_f4,3,47982,-0.000124913389213249,-0.717283684767665,-0.000468431752514178,0.000211134729507253,0.49816338028169,0,-0.0287490736958235,0.0281794591843863,-0.00010182943914122,-0.000111910005618023,-0.000141559442475662,-9.41770348207617e-05,-0.000108060306397832,trigg_cap8_tau0.6 @ outputs/m4_tracking_signal,fixed_f4 @ outputs/m4_full_capped
FULL h18 trigg vs trigger,18,38134,0.00318050238276139,4.71246124286105,0.00186576852548387,0.00448087467162451,0.501939291736931,0,-0.101664277801465,0.105095779112054,0.00156021263058383,0.00104000453024601,0.000729045360904797,0.00204559796600883,0.000408998713525822,trigg_cap8_tau0.6 @ outputs/m4_tracking_signal_h18_full,adaptive_cap8_tau0.8 @ outputs/m4_tracking_signal_h18_full
FULL h18 trigg vs fixed_f8,18,38134,-0.00108428957717976,-1.7913898967108,-0.00230149655863781,0.00013516883623397,0.492167064301935,0,-0.085490877381952,0.077688182164981,-0.00175146899717121,-0.00184249344494898,-0.00176187799728404,-0.00148146534603043,-0.0023579717315065,trigg_cap8_tau0.6 @ outputs/m4_tracking_signal_h18_full,fixed_f8 @ outputs/m4_tracking_signal_h18_full
FULL h18 trigger vs fixed_f8,18,38134,-0.00426479195994115,-8.95987721000158,-0.00519100825182921,-0.0033376069895532,0.469185269986644,0,-0.044106647329509,0.0261488604636379,-0.00305540319282311,-0.00239889993188537,-0.00177582680483737,-0.00333360178443129,-0.00231218747937665,adaptive_cap8_tau0.8 @ outputs/m4_tracking_signal_h18_full,fixed_f8 @ outputs/m4_tracking_signal_h18_full
