horizon,set,n_series,n_origin_records,mean_series_diff,median_series_diff,share_series_a_worse,series_t,series_df,series_p,sign_share_a_worse,sign_p,wilcoxon_p,cr_mean,cr_se,cr_t,cr_df,boot_lo,boot_hi
3,all_origins,47982,1727352,0.00101716155261786,0,0.142261681463882,4.88830766840758,47981,1.02034435088309e-06,0.547877036680311,1.16843578043228e-26,2.51909899244019e-21,0.00101716155261786,0.000208080509987459,4.88830766840758,47981,0.000597676229620572,0.00144754812268794
3,divergent_origins,12459,152051,0.0165776036056198,0.0145062043373762,0.547877036680311,5.91785309452482,12458,3.34747128828927e-09,0.547877036680311,1.16843578043228e-26,2.16519858425278e-20,0.0115553073779761,0.00236447714200961,4.88704550053506,12458,0.00690621969063839,0.0163083604921228
6,all_origins,4000,144000,-0.00566086776850281,0,0.194,-3.81262339400422,3999,0.000139570877429121,0.522558922558923,0.086733964309581,0.938991772887311,-0.00566086776850281,0.0014847697198221,-3.81262339400422,3999,-0.00860074981731727,-0.0028090433904834
6,divergent_origins,1485,20169,0.0169967790289418,0.013838258852235,0.522558922558923,1.42449309924262,1484,0.154514029652356,0.522558922558923,0.086733964309581,0.17256927687249,-0.040416726595394,0.0104221373399449,-3.87796910337086,1484,-0.0615351813597445,-0.019635988958257
9,all_origins,4000,144000,-0.00657710736419311,0,0.18825,-4.50144472203237,3999,6.94141072929746e-06,0.505708529214238,0.678418542247164,0.112224033559516,-0.00657710736419311,0.00146111032575861,-4.50144472203238,3999,-0.00944722085947208,-0.00373149815487102
9,divergent_origins,1489,20363,-0.0143677189198233,0.00483462581599493,0.505708529214238,-1.22307818551267,1488,0.221493830949949,0.505708529214238,0.678418542247164,0.421541784757885,-0.0465109983983459,0.0101643741723795,-4.57588412326793,1488,-0.066185472527288,-0.0267876077154183
12,all_origins,4000,144000,-0.00509343801564886,0,0.189,-3.49311462088859,3999,0.000482593623875336,0.497041420118343,0.83748037975247,0.224161838013416,-0.00509343801564886,0.00145813652526328,-3.49311462088859,3999,-0.00802945822762339,-0.00235149810163315
12,divergent_origins,1521,20386,0.000403792376615418,-0.00134311585715457,0.497041420118343,0.0359093378120302,1520,0.971359365239292,0.497041420118343,0.83748037975247,0.509005151007087,-0.0359783711479333,0.0101886267268501,-3.53122870358176,1520,-0.0568206899571867,-0.0164755453676855
18,all_origins,4000,144000,-0.00375833961568838,0,0.186,-2.3265770507743,3999,0.0200374995674721,0.492389146260755,0.571431242134463,0.361192741269134,-0.00375833961568838,0.00161539443296648,-2.3265770507743,3999,-0.00688095837253429,-0.000718884285457175
18,divergent_origins,1511,20304,-0.000151777384012795,-0.00326690267366952,0.492389146260755,-0.0109967503249401,1510,0.991227492173283,0.492389146260755,0.571431242134463,0.668178240056071,-0.0266548908931444,0.011396223624896,-2.33892311791026,1510,-0.0499250241493031,-0.00496932210046648
